"ACP.spec_early","ACP.spec_late","Echo1_early","Echo1_late","Echo2_early","Echo2_late","NACP.spec_early","NACP.spec_late"
NA,NA,"AT3G16510","AT5G58080",NA,NA,NA,NA
NA,NA,"AT1G53625","AT3G57380",NA,NA,NA,NA
NA,NA,"AT1G73020","AT3G06420",NA,NA,NA,NA
NA,NA,"AT3G13950","AT1G34420",NA,NA,NA,NA
NA,NA,"AT3G26470","AT4G23850",NA,NA,NA,NA
NA,NA,"AT4G19370","AT1G08920",NA,NA,NA,NA
NA,NA,"AT3G09020","AT1G28280",NA,NA,NA,NA
NA,NA,"AT1G02390","AT2G19690",NA,NA,NA,NA
NA,NA,"AT5G63850","AT1G03660",NA,NA,NA,NA
NA,NA,"AT5G66910","AT1G55230",NA,NA,NA,NA
NA,NA,"AT1G47890","AT1G04280",NA,NA,NA,NA
NA,NA,"AT4G31790","AT4G11655",NA,NA,NA,NA
NA,NA,"AT1G65250","AT2G38740",NA,NA,NA,NA
NA,NA,"AT5G25790","AT5G05730",NA,NA,NA,NA
NA,NA,"AT3G57460","AT2G43290",NA,NA,NA,NA
NA,NA,"AT5G65300","AT5G15870",NA,NA,NA,NA
NA,NA,"AT5G15480","AT2G20760",NA,NA,NA,NA
NA,NA,"AT5G39785","AT3G03160",NA,NA,NA,NA
NA,NA,"AT3G07195","AT3G46690",NA,NA,NA,NA
NA,NA,"AT5G22540","AT5G47200",NA,NA,NA,NA
NA,NA,"AT2G24285","AT1G23850",NA,NA,NA,NA
NA,NA,"AT1G67920","AT5G27520",NA,NA,NA,NA
NA,NA,"AT1G67800","AT5G01210",NA,NA,NA,NA
NA,NA,"AT1G68200","AT5G40730",NA,NA,NA,NA
NA,NA,"AT1G01680","AT3G10490",NA,NA,NA,NA
NA,NA,"AT1G30860","AT1G68620",NA,NA,NA,NA
NA,NA,"AT2G38860","AT5G40760",NA,NA,NA,NA
NA,NA,"AT4G23260","AT5G67600",NA,NA,NA,NA
NA,NA,"AT1G31280","AT5G14640",NA,NA,NA,NA
NA,NA,"AT1G22400","AT2G38000",NA,NA,NA,NA
NA,NA,"AT3G27560","AT1G61810",NA,NA,NA,NA
NA,NA,"AT1G02740","AT5G67310",NA,NA,NA,NA
NA,NA,"AT2G35930","AT4G39270",NA,NA,NA,NA
NA,NA,"AT1G12200","AT2G15760",NA,NA,NA,NA
NA,NA,"AT2G37970","AT1G30475",NA,NA,NA,NA
NA,NA,"AT4G16920","AT4G16500",NA,NA,NA,NA
NA,NA,"AT1G17615","AT5G47740",NA,NA,NA,NA
NA,NA,"AT5G12480","AT3G01720",NA,NA,NA,NA
NA,NA,"AT5G25260","AT1G16540",NA,NA,NA,NA
NA,NA,"AT5G24200","AT5G25910",NA,NA,NA,NA
NA,NA,"AT3G62260","AT3G13433",NA,NA,NA,NA
NA,NA,"AT5G45080","AT5G64990",NA,NA,NA,NA
NA,NA,"AT4G21850","AT1G78210",NA,NA,NA,NA
NA,NA,"AT2G11520","AT4G17660",NA,NA,NA,NA
NA,NA,"AT3G44350","AT5G38710",NA,NA,NA,NA
NA,NA,"AT3G60420","AT5G57150",NA,NA,NA,NA
NA,NA,"AT2G34500","AT4G39580",NA,NA,NA,NA
NA,NA,"AT5G12020","AT1G55080",NA,NA,NA,NA
NA,NA,"AT3G50140","AT1G70140",NA,NA,NA,NA
NA,NA,"AT2G20110","AT3G15430",NA,NA,NA,NA
NA,NA,"AT1G61370","AT3G15352",NA,NA,NA,NA
NA,NA,"AT2G25190","AT4G28390",NA,NA,NA,NA
NA,NA,"AT1G30070","AT3G20510",NA,NA,NA,NA
NA,NA,"AT5G25920","AT4G19040",NA,NA,NA,NA
NA,NA,"AT3G02770","AT5G11210",NA,NA,NA,NA
NA,NA,"AT3G12040","AT3G11340",NA,NA,NA,NA
NA,NA,"AT1G53620","AT2G41110",NA,NA,NA,NA
NA,NA,"AT5G22060","AT1G33050",NA,NA,NA,NA
NA,NA,"AT5G60270","AT3G55880",NA,NA,NA,NA
NA,NA,"AT2G29720","AT1G30320",NA,NA,NA,NA
NA,NA,"AT1G09932","AT4G34131",NA,NA,NA,NA
NA,NA,"AT3G22942","AT4G33910",NA,NA,NA,NA
NA,NA,"AT3G46080","AT1G02220",NA,NA,NA,NA
NA,NA,"AT1G27100","AT5G39050",NA,NA,NA,NA
NA,NA,"AT1G02450","AT3G56891",NA,NA,NA,NA
NA,NA,"AT3G60470","AT1G07870",NA,NA,NA,NA
NA,NA,"AT3G46510","AT5G20960",NA,NA,NA,NA
NA,NA,"AT5G13320","AT4G34200",NA,NA,NA,NA
NA,NA,"AT1G30270","AT3G04010",NA,NA,NA,NA
NA,NA,"AT3G08760","AT5G45900",NA,NA,NA,NA
NA,NA,"AT1G77810","AT4G39830",NA,NA,NA,NA
NA,NA,"AT3G61760","AT4G33420",NA,NA,NA,NA
NA,NA,"AT3G63420","AT3G13330",NA,NA,NA,NA
NA,NA,"AT5G02490","AT1G70480",NA,NA,NA,NA
NA,NA,"AT5G03490","AT5G40580",NA,NA,NA,NA
NA,NA,"AT3G19910","AT3G60110",NA,NA,NA,NA
NA,NA,"AT3G04580","AT2G35000",NA,NA,NA,NA
NA,NA,"AT5G47730","AT4G15280",NA,NA,NA,NA
NA,NA,"AT2G34580","AT2G17730",NA,NA,NA,NA
NA,NA,"AT2G20320","AT1G48850",NA,NA,NA,NA
NA,NA,"AT2G39480","AT2G17500",NA,NA,NA,NA
NA,NA,"AT1G50400","AT3G18560",NA,NA,NA,NA
NA,NA,"AT1G73130","AT1G26400",NA,NA,NA,NA
NA,NA,"AT3G13080","AT3G22620",NA,NA,NA,NA
NA,NA,"AT2G04305","AT3G10320",NA,NA,NA,NA
NA,NA,"AT1G79710","AT1G66570",NA,NA,NA,NA
NA,NA,"AT1G11905","AT1G77370",NA,NA,NA,NA
NA,NA,"AT5G47130","AT4G14630",NA,NA,NA,NA
NA,NA,"AT5G57060","AT5G64260",NA,NA,NA,NA
NA,NA,"AT3G27330","AT2G42360",NA,NA,NA,NA
NA,NA,"AT5G14310","AT1G30135",NA,NA,NA,NA
NA,NA,"AT3G19580","AT3G12230",NA,NA,NA,NA
NA,NA,"AT5G23490","AT1G12290",NA,NA,NA,NA
NA,NA,"AT4G09300","AT4G30270",NA,NA,NA,NA
NA,NA,"AT1G57560","AT2G02870",NA,NA,NA,NA
NA,NA,"AT5G03330","AT3G44860",NA,NA,NA,NA
NA,NA,"AT1G15800","AT3G05630",NA,NA,NA,NA
NA,NA,"AT2G30440","AT3G44300",NA,NA,NA,NA
NA,NA,"AT1G33800","AT5G44568",NA,NA,NA,NA
NA,NA,"AT1G09970","AT4G21680",NA,NA,NA,NA
NA,NA,"AT3G28450","AT1G15130",NA,NA,NA,NA
NA,NA,"AT3G07720","AT5G06760",NA,NA,NA,NA
NA,NA,"AT3G60690","AT3G03440",NA,NA,NA,NA
NA,NA,"AT2G21188","AT1G04200",NA,NA,NA,NA
NA,NA,"AT1G61640","AT4G18290",NA,NA,NA,NA
NA,NA,"AT1G68690","AT3G09270",NA,NA,NA,NA
NA,NA,"AT1G13180","AT1G80590",NA,NA,NA,NA
NA,NA,"AT5G18480","AT5G50760",NA,NA,NA,NA
NA,NA,"AT1G50740","AT1G70300",NA,NA,NA,NA
NA,NA,"AT2G01818","AT5G28237",NA,NA,NA,NA
NA,NA,"AT5G64530","AT2G27690",NA,NA,NA,NA
NA,NA,"AT4G29950","AT1G32380",NA,NA,NA,NA
NA,NA,"AT1G26390","AT3G60130",NA,NA,NA,NA
NA,NA,"AT3G07390","AT5G60630",NA,NA,NA,NA
NA,NA,"AT1G17290","AT2G45290",NA,NA,NA,NA
NA,NA,"AT4G21903","AT5G59530",NA,NA,NA,NA
NA,NA,"AT2G24850","AT5G06860",NA,NA,NA,NA
NA,NA,"AT3G14990","AT3G52770",NA,NA,NA,NA
NA,NA,"AT5G54780","AT1G02520",NA,NA,NA,NA
NA,NA,"AT5G46410","AT1G75450",NA,NA,NA,NA
NA,NA,"AT1G54090","AT5G17640",NA,NA,NA,NA
NA,NA,"AT5G18490","AT5G13330",NA,NA,NA,NA
NA,NA,"AT1G78570","AT3G59100",NA,NA,NA,NA
NA,NA,"AT5G07650","AT2G31730",NA,NA,NA,NA
NA,NA,"AT5G65920","AT5G14650",NA,NA,NA,NA
NA,NA,"AT3G15300","AT3G13130",NA,NA,NA,NA
NA,NA,"AT5G25450","AT3G52748",NA,NA,NA,NA
NA,NA,"AT5G48400","AT4G15890",NA,NA,NA,NA
NA,NA,"AT5G60790","AT4G24690",NA,NA,NA,NA
NA,NA,"AT5G45130","AT5G66170",NA,NA,NA,NA
NA,NA,"AT1G61140","AT5G06230",NA,NA,NA,NA
NA,NA,"AT5G66890","AT5G54160",NA,NA,NA,NA
NA,NA,"AT1G68440","AT2G47770",NA,NA,NA,NA
NA,NA,"AT2G03410","AT4G08290",NA,NA,NA,NA
NA,NA,"AT4G35180","AT1G61065",NA,NA,NA,NA
